CMDLINE /Users/jordandavis/miniconda3/envs/hgrnenv/bin/python /Users/jordandavis/Documents/HGRN_repo_fork/run_sim.py
MEM 521.246094 1755564744.2108
MEM 521.859375 1755564744.3119
MEM 522.492188 1755564744.4162
MEM 522.542969 1755564744.5187
MEM 522.609375 1755564744.6190
MEM 522.707031 1755564744.7212
MEM 522.804688 1755564744.8241
MEM 522.906250 1755564744.9284
MEM 523.867188 1755564745.0329
MEM 526.746094 1755564745.1375
MEM 527.640625 1755564745.2407
MEM 528.539062 1755564745.3449
MEM 547.425781 1755564745.4456
MEM 547.738281 1755564745.5459
MEM 547.941406 1755564745.6492
MEM 548.156250 1755564745.7519
MEM 548.371094 1755564745.8546
MEM 548.628906 1755564745.9581
MEM 549.789062 1755564746.0592
MEM 550.597656 1755564746.1615
MEM 551.433594 1755564746.2622
MEM 552.175781 1755564746.3626
MEM 552.976562 1755564746.4643
MEM 554.339844 1755564746.5658
MEM 554.417969 1755564746.6681
MEM 554.468750 1755564746.7726
MEM 554.468750 1755564746.8761
MEM 554.550781 1755564746.9773
MEM 554.710938 1755564747.0807
MEM 554.882812 1755564747.1844
MEM 554.957031 1755564747.2853
MEM 556.242188 1755564747.3858
MEM 556.964844 1755564747.4893
MEM 565.562500 1755564747.5924
MEM 566.222656 1755564747.6974
MEM 584.718750 1755564747.7986
MEM 584.816406 1755564747.9000
MEM 584.820312 1755564748.0014
MEM 584.914062 1755564748.1026
MEM 585.136719 1755564748.2040
MEM 585.195312 1755564748.3046
MEM 586.003906 1755564748.4060
MEM 586.769531 1755564748.5102
MEM 586.847656 1755564748.6151
MEM 586.921875 1755564748.7159
MEM 587.031250 1755564748.8173
MEM 587.167969 1755564748.9183
MEM 587.335938 1755564749.0212
MEM 628.558594 1755564749.1215
MEM 628.914062 1755564749.2226
MEM 628.968750 1755564749.3230
MEM 629.007812 1755564749.4236
MEM 629.066406 1755564749.5283
MEM 629.203125 1755564749.6328
MEM 629.222656 1755564749.7360
MEM 629.289062 1755564749.8393
MEM 629.738281 1755564749.9416
MEM 629.746094 1755564750.0460
MEM 629.746094 1755564750.1462
MEM 629.746094 1755564750.2468
MEM 629.746094 1755564750.3518
MEM 629.750000 1755564750.4546
MEM 629.750000 1755564750.5559
