,method,data_type,k_middle,k_top,graph_type,connect_type,stdev,modularity_mid,modularity_top,node_degree_within_middle,node_degree_between_middle,node_degree_within_top,node_degree_between_top
215,silouette,reg_balanced,15,5,scale_free,full,01,0.7283492432564552,0.7068578965068443,193.46666666666667,3.5476190476190474,661.6,16.95
216,bethe_hessian,reg_balanced,12,6,scale_free,full,01,0.5078041980271134,0.48913480327827613,199.4,10.3,715.2,78.9
217,silouette,reg_balanced,11,3,scale_free,full,01,0.5078041980271134,0.48913480327827613,199.4,10.3,715.2,78.9
218,bethe_hessian,reg_balanced,13,7,scale_free,full,01,0.5819444436753584,0.5707972408952114,195.26666666666668,7.276190476190476,694.6,49.2
219,silouette,reg_balanced,12,5,scale_free,full,01,0.5819444436753584,0.5707972408952114,195.26666666666668,7.276190476190476,694.6,49.2
220,bethe_hessian,reg_balanced,13,7,scale_free,full,01,0.6155490045166726,0.7050267904435278,198.06666666666666,6.390476190476191,789.6,18.25
221,silouette,reg_balanced,13,6,scale_free,full,01,0.6155490045166726,0.7050267904435278,198.06666666666666,6.390476190476191,789.6,18.25
222,bethe_hessian,reg_balanced,14,7,scale_free,full,01,0.7199243092298648,0.7584091640771534,199.46666666666667,3.7523809523809524,731.6,6.1
223,silouette,reg_balanced,14,6,scale_free,full,01,0.7199243092298648,0.7584091640771534,199.46666666666667,3.7523809523809524,731.6,6.1
224,bethe_hessian,reg_balanced,14,7,scale_free,full,01,0.6657290143282739,0.6603921781488782,197.33333333333334,5.023809523809524,697.4,26.4
225,silouette,reg_balanced,15,5,scale_free,full,01,0.6657290143282739,0.6603921781488782,197.33333333333334,5.023809523809524,697.4,26.4
226,bethe_hessian,reg_balanced,15,8,scale_free,full,01,0.7023560611484899,0.6355922142759916,196.13333333333333,4.147619047619048,639.0,30.9
227,silouette,reg_balanced,15,7,scale_free,full,01,0.7023560611484899,0.6355922142759916,196.13333333333333,4.147619047619048,639.0,30.9
228,bethe_hessian,reg_balanced,12,6,scale_free,full,01,0.586009746675097,0.7229835169564043,197.33333333333334,7.266666666666667,836.4,15.2
229,silouette,reg_balanced,11,4,scale_free,full,01,0.586009746675097,0.7229835169564043,197.33333333333334,7.266666666666667,836.4,15.2
